log_id,date,month,day_of_week,hour,user_id,team,tool,use_case,input_tokens,output_tokens,total_tokens,cost_usd,quality_score,session_minutes,is_retry,is_anomaly
LOG100001,2024-02-27,2024-02,Tuesday,12,U1005,Engineering,ChatGPT-4,Code Generation,1094,772,1866,0.0791,5,26.4,0,0
LOG100002,2024-10-17,2024-10,Thursday,9,U1047,HR,ChatGPT-3.5,Email Drafting,267,196,463,0.0009,5,3.0,0,0
LOG100003,2024-03-05,2024-03,Tuesday,12,U1025,Marketing,Perplexity,Research,1428,549,1977,0.002,3,14.5,0,0
LOG100004,2024-08-04,2024-08,Sunday,19,U1075,Legal,ChatGPT-4,Documentation,528,489,1017,0.0452,5,27.9,0,0
LOG100005,2024-07-23,2024-07,Tuesday,16,U1071,Legal,Claude-3-Sonnet,Research,750,221,971,0.0056,5,19.7,0,0
LOG100006,2024-04-25,2024-04,Thursday,8,U1073,Legal,Claude-3-Sonnet,Report Summarization,820,1374,2194,0.0231,2,16.8,1,0
LOG100007,2024-01-31,2024-01,Wednesday,9,U1026,Marketing,ChatGPT-3.5,Research,453,390,843,0.0017,3,27.2,0,0
LOG100008,2024-12-08,2024-12,Sunday,17,U1075,Legal,ChatGPT-4,Research,1483,933,2416,0.1005,4,16.4,0,0
LOG100009,2024-08-30,2024-08,Friday,14,U1034,Finance,Claude-3-Sonnet,Report Summarization,750,722,1472,0.0131,5,6.1,0,0
LOG100010,2024-08-27,2024-08,Tuesday,18,U1044,HR,ChatGPT-3.5,Documentation,613,340,953,0.0019,5,2.1,0,0
LOG100011,2024-06-22,2024-06,Saturday,16,U1036,Finance,ChatGPT-3.5,Data Analysis,225,475,700,0.0014,5,3.7,0,0
LOG100012,2024-04-03,2024-04,Wednesday,15,U1072,Legal,Claude-3-Sonnet,Research,1075,736,1811,0.0143,3,7.9,0,0
LOG100013,2024-02-20,2024-02,Tuesday,11,U1034,Finance,Perplexity,Email Drafting,240,151,391,0.0004,2,25.2,0,0
LOG100014,2024-09-03,2024-09,Tuesday,14,U1027,Finance,ChatGPT-3.5,Data Analysis,822,183,1005,0.002,3,12.3,0,0
LOG100015,2024-05-15,2024-05,Wednesday,19,U1022,Marketing,ChatGPT-3.5,Email Drafting,96,204,300,0.0006,5,23.7,0,0
LOG100016,2024-12-04,2024-12,Wednesday,8,U1039,Finance,Perplexity,Email Drafting,265,228,493,0.0005,4,5.1,0,0
LOG100017,2024-02-01,2024-02,Thursday,16,U1048,HR,Perplexity,Research,1235,243,1478,0.0015,5,2.2,0,0
LOG100018,2024-03-21,2024-03,Thursday,9,U1049,HR,ChatGPT-4,Research,337,403,740,0.0343,2,25.6,1,0
LOG100019,2024-07-25,2024-07,Thursday,17,U1069,Legal,ChatGPT-4,Report Summarization,1270,966,2236,0.0961,2,7.8,0,0
LOG100020,2024-10-25,2024-10,Friday,18,U1023,Marketing,ChatGPT-3.5,Research,1361,768,2129,0.0043,4,9.8,0,0
LOG100021,2024-05-15,2024-05,Wednesday,13,U1031,Finance,Claude-3-Sonnet,Report Summarization,1068,755,1823,0.0145,4,20.3,0,0
